Ranking,Category,Description,ImageUrl,Price,AverageRating,RatingCount,Url,Asin
#38,Gesundheit & Körperpflege,"Scitec Nutrition L-Glutamine, 600g, 25160","https://images-eu.ssl-images-amazon.com/images/I/81dXfQl1GiL._AC_UL200_SR200,200_.jpg","19,29 ","4,6",152,https://www.amazon.de/Scitec-Nutrition-L-Glutamine-600-25160/dp/B004EPYCSS/ref=zg_bs_9418400031_38/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B004EPYCSS
#39,Gesundheit & Körperpflege,boep Wind-und Wetterbalsam – Vegane Naturkosmetik für Babys und Kinder –…,"https://images-eu.ssl-images-amazon.com/images/I/41qhbIHJafL._AC_UL200_SR200,200_.jpg","10,95 ","4,7",54,https://www.amazon.de/boep-babybalsam-Bio-Oliven%C3%B6l-Naturkosmetik-K%C3%A4lteschutzcreme/dp/B078S5PD9L/ref=zg_bs_9418400031_39/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B078S5PD9L
#40,Gesundheit & Körperpflege,The Cheeky Panda Luxus Bambus Toilettenpapier 4 Papierrollen,"https://images-eu.ssl-images-amazon.com/images/I/81QQGCUSx6L._AC_UL200_SR200,200_.jpg","6,97 ","4,5",3.200,https://www.amazon.de/Cheeky-Panda-Toilettenpapier-100-Prozent-hautfreundlich/dp/B01KY14RJY/ref=zg_bs_9418400031_40/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B01KY14RJY
#41,Gesundheit & Körperpflege,"Ovy® SKIN & HAIR Kapseln für gesunde Haut, Haare und Nägel | Bei hormoneller Umstellung…","https://images-eu.ssl-images-amazon.com/images/I/71MHSFy3RjL._AC_UL200_SR200,200_.jpg","14,90 ","3,9",63,https://www.amazon.de/Kapseln-Ovy-Mineralien-Vitamine-Fols%C3%A4ure/dp/B07FXTSDQ4/ref=zg_bs_9418400031_41/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B07FXTSDQ4
#42,Gesundheit & Körperpflege,TellmeGen DNA Test Herkunft (Ancestry) + Gesundheit | +390 Online-Berichte: Der…,"https://images-eu.ssl-images-amazon.com/images/I/61xLUGI4UPL._AC_UL200_SR200,200_.jpg","129,00 ","4,2",1.322,https://www.amazon.de/tellmeGen-Genetische-Auswertung-Kit/dp/B01A0W1D9E/ref=zg_bs_9418400031_42/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B01A0W1D9E
#43,Gesundheit & Körperpflege,Georganics Natürlich Bio Kokosölzahnpasta- Englischer Pfefferminz 120 ml/Remineralizing Natural Organic Coconut Oil Toothpaste - English…,"https://images-eu.ssl-images-amazon.com/images/I/712c-01q9mL._AC_UL200_SR200,200_.jpg",_,"4,2",400,https://www.amazon.de/Georganics-Kokos%C3%B6lzahnpasta-Englischer-Pfefferminz-Remineralizing/dp/B019CWUAD8/ref=zg_bs_9418400031_43/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B019CWUAD8
#44,Gesundheit & Körperpflege,Aufbissschiene Zahnschutz beim nächtlichen Zähneknirschen Knirscherschiene Zahnschiene…,"https://images-eu.ssl-images-amazon.com/images/I/61nzoPYGRnL._AC_UL200_SR200,200_.jpg","14,91 ","3,5",232,https://www.amazon.de/Bei%C3%9Fschiene-Zahnschiene-Sportmundschutz-Praktischer-Aufbewahrungsbox/dp/B079YK49X7/ref=zg_bs_9418400031_44/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B079YK49X7
#45,Gesundheit & Körperpflege,"500 Süß Wax Vliesstreifen für Haarentfernung, Wachspatronen, Epilation, Sugaring und Waxing","https://images-eu.ssl-images-amazon.com/images/I/81WCo7Ul8YL._AC_UL200_SR200,200_.jpg","15,99 ","4,4",74,https://www.amazon.de/Vliesstreifen-Haarentfernung-Wachspatronen-Epilation-Sugaring/dp/B00HSSHJAG/ref=zg_bs_9418400031_45/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B00HSSHJAG
#46,Gesundheit & Körperpflege,boep Babymandelöl - Naturkosmetik Babyöl für die Neugeborenenpflege und Massage - Liebevoll…,"https://images-eu.ssl-images-amazon.com/images/I/41RJFom43SL._AC_UL200_SR200,200_.jpg","16,95 ","4,7",45,https://www.amazon.de/boep-babymandel%C3%B6l-Neugeborenenpflege-Naturkosmetik-entwickelt/dp/B078S7TLRV/ref=zg_bs_9418400031_46/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B078S7TLRV
#47,Gesundheit & Körperpflege,Dr. Severin® Men Original Body Aftershave Balsam I gegen Rasierpickel I befreit von Irritationen I…,"https://images-eu.ssl-images-amazon.com/images/I/31aCL1HaJfL._AC_UL200_SR200,200_.jpg","33,10 ","4,4",310,https://www.amazon.de/Dr-Severin%C2%AE-Original-Balsam-Pumpspender/dp/B01KFRAN8Q/ref=zg_bs_9418400031_47/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B01KFRAN8Q
